task_id,turn,kind,name,input_tokens,output_tokens,reasoning_tokens,reused_input_tokens,duration_ms
apple-one-trial,1,llm,qwen3:14b,288,27,0,0,1286
apple-one-trial,2,llm,qwen3:14b,655,38,0,103,2220
apple-one-trial,1,tool,search_documents,,345,,,19
foldable-name,1,llm,qwen3:14b,285,22,0,0,1074
foldable-name,2,llm,qwen3:14b,662,28,0,98,2084
foldable-name,1,tool,search_documents,,342,,,7
siri-languages,1,llm,qwen3:14b,289,34,0,0,1452
siri-languages,2,llm,qwen3:14b,652,32,0,104,1991
siri-languages,1,tool,search_documents,,320,,,8
airpods-anc,1,llm,qwen3:14b,289,27,0,0,1202
airpods-anc,2,llm,qwen3:14b,640,37,0,102,2132
airpods-anc,1,tool,search_documents,,304,,,8
macos-release,1,llm,qwen3:14b,285,22,0,0,1005
macos-release,2,llm,qwen3:14b,637,44,0,100,2380
macos-release,1,tool,search_documents,,317,,,6
which-file-apple-one,1,llm,qwen3:14b,288,22,0,0,1005
which-file-apple-one,2,llm,qwen3:14b,673,22,0,103,1813
which-file-apple-one,1,tool,search_documents,,350,,,6
follow-up-trial-length,1,llm,qwen3:14b,709,31,0,0,1352
current-year,1,llm,qwen3:14b,285,21,0,0,940
current-year,2,llm,qwen3:14b,342,11,0,99,579
current-year,1,tool,current_datetime,,12,,,6
absent-vacation-policy,1,llm,qwen3:14b,287,26,0,0,1092
absent-vacation-policy,2,llm,qwen3:14b,652,16,0,102,1242
absent-vacation-policy,1,tool,search_documents,,337,,,7
absent-salary,1,llm,qwen3:14b,285,22,0,0,969
absent-salary,2,llm,qwen3:14b,651,27,0,101,1660
absent-salary,1,tool,search_documents,,334,,,7
